ID,GioiTinh,NamHoc,Nganh,ThoiGian,ChiPhi,CSVC1,CSVC2,CSVC3,CSVC4,CSVC5,AN1,AN2,AN3,AN4,HT1,HT2,HT3,HT4,NV1,NV2,NV3,NV4,CLDV1,CLDV2,CLDV3,CLDV4,HL1,HL2,HL3,HL4
SV001,2,4,2,1,2,,5.0,5.0,2.0,3.0,5.0,4.0,,4.0,4.0,,4.0,5.0,2.0,4.0,5.0,4.0,3.0,3.0,3.0,3.0,4.0,2.0,4.0,4.0
SV002,2,4,2,3,1,4.0,2.0,4.0,4.0,1.0,5.0,4.0,5.0,4.0,4.0,3.0,4.0,5.0,2.0,4.0,3.0,5.0,2.0,4.0,4.0,5.0,3.0,4.0,1.0,3.0
SV003,1,1,4,1,2,4.0,4.0,3.0,4.0,3.0,4.0,4.0,3.0,4.0,2.0,4.0,3.0,4.0,2.0,4.0,3.0,3.0,2.0,5.0,,5.0,4.0,4.0,5.0,3.0
SV004,2,2,2,1,1,4.0,,5.0,4.0,5.0,,3.0,3.0,3.0,4.0,2.0,4.0,4.0,5.0,5.0,4.0,5.0,5.0,5.0,4.0,3.0,3.0,4.0,3.0,4.0
SV005,1,2,4,3,1,2.0,2.0,2.0,2.0,3.0,,2.0,4.0,4.0,2.0,2.0,1.0,2.0,5.0,5.0,4.0,5.0,4.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0
SV006,2,1,1,1,1,2.0,3.0,2.0,3.0,3.0,4.0,5.0,4.0,3.0,3.0,3.0,4.0,3.0,5.0,5.0,5.0,4.0,5.0,4.0,4.0,3.0,2.0,3.0,4.0,3.0
SV007,2,2,1,3,2,,3.0,3.0,3.0,3.0,5.0,3.0,,4.0,5.0,5.0,5.0,5.0,3.0,,3.0,2.0,4.0,4.0,5.0,4.0,4.0,2.0,2.0,2.0
SV008,2,4,4,2,2,4.0,4.0,4.0,2.0,2.0,4.0,3.0,,3.0,4.0,4.0,3.0,5.0,5.0,3.0,5.0,5.0,4.0,,5.0,4.0,2.0,1.0,2.0,2.0
SV009,2,1,4,1,1,3.0,4.0,2.0,4.0,2.0,4.0,2.0,3.0,5.0,2.0,2.0,4.0,3.0,4.0,4.0,4.0,4.0,4.0,3.0,4.0,4.0,4.0,5.0,3.0,4.0
SV010,1,2,1,2,2,5.0,1.0,2.0,4.0,,3.0,2.0,3.0,4.0,4.0,3.0,3.0,4.0,3.0,4.0,4.0,3.0,5.0,4.0,4.0,2.0,2.0,3.0,,4.0
SV011,2,4,5,2,2,3.0,,4.0,4.0,5.0,2.0,3.0,4.0,4.0,2.0,3.0,3.0,4.0,5.0,5.0,4.0,5.0,5.0,4.0,4.0,3.0,2.0,3.0,,2.0
SV012,2,2,1,3,1,3.0,,4.0,3.0,5.0,4.0,,4.0,4.0,,3.0,3.0,5.0,4.0,4.0,,5.0,5.0,4.0,5.0,,4.0,,3.0,5.0
SV013,2,2,5,3,2,4.0,4.0,4.0,4.0,4.0,3.0,4.0,5.0,2.0,2.0,1.0,4.0,3.0,4.0,5.0,5.0,3.0,4.0,4.0,4.0,4.0,3.0,,3.0,3.0
SV014,1,4,4,2,3,,3.0,3.0,3.0,3.0,3.0,4.0,3.0,,3.0,4.0,2.0,,4.0,3.0,5.0,5.0,5.0,3.0,3.0,3.0,3.0,3.0,1.0,2.0
SV015,1,2,5,2,1,4.0,4.0,,3.0,4.0,5.0,4.0,,3.0,5.0,3.0,4.0,4.0,4.0,4.0,4.0,2.0,4.0,5.0,4.0,3.0,3.0,4.0,,
SV016,1,1,5,1,2,4.0,3.0,2.0,3.0,3.0,5.0,5.0,3.0,3.0,4.0,4.0,5.0,4.0,3.0,2.0,3.0,3.0,3.0,3.0,3.0,3.0,2.0,2.0,2.0,4.0
SV017,1,1,2,2,1,2.0,4.0,5.0,4.0,3.0,4.0,5.0,2.0,3.0,5.0,5.0,3.0,4.0,4.0,4.0,4.0,5.0,4.0,4.0,3.0,5.0,3.0,4.0,2.0,4.0
SV018,1,4,4,3,2,3.0,,2.0,3.0,5.0,3.0,4.0,2.0,,4.0,3.0,3.0,5.0,3.0,2.0,3.0,3.0,3.0,3.0,,3.0,4.0,3.0,3.0,2.0
